,count,mean,std,min,25%,50%,75%,max
january_2019,34.0,1787771.79,2440059.92,90789.0,338613.5,813625.0,1934076.0,11116072.0
february_2019,34.0,1311435.97,1899786.67,48019.0,256349.75,651720.0,1380377.5,9942434.0
march_2019,34.0,1666740.24,2457786.79,84467.0,275433.0,709047.5,1589944.0,11088052.0
april_2019,34.0,1701670.35,2673674.52,102283.0,237821.0,662101.5,1571030.25,11993275.0
may_2019,34.0,1516139.29,2273896.83,109827.0,241131.25,670567.0,1435722.0,10148348.0
june_2019,34.0,2314456.35,3725873.29,119683.0,339172.25,935747.5,2239787.75,17758640.0
july_2019,34.0,1698219.76,2584133.77,102619.0,300326.5,765201.5,1709901.75,12666376.0
august_2019,34.0,1891383.56,2963192.71,99582.0,291442.0,751572.5,1591248.0,13851900.0
september_2019,34.0,1629603.06,2579218.56,73498.0,250047.5,648653.0,1381884.5,11808826.0
october_2019,34.0,1828636.91,2943878.71,93397.0,281861.0,681511.5,1539476.5,13129658.0
november_2019,34.0,1839974.53,3008143.35,94620.0,286542.5,694737.0,1532858.25,13649852.0
december_2019,34.0,2053930.91,3059959.26,124114.0,323020.5,836674.0,2033790.75,14443528.0
january_2020,34.0,1686635.74,3423142.63,27906.0,142339.25,289222.0,989803.25,13945958.0
february_2020,34.0,1529985.26,3134007.03,28952.0,119706.25,268137.0,895067.75,12527304.0
march_2020,34.0,1248840.53,2675577.33,22807.0,92220.5,211896.0,677716.5,11005404.0
april_2020,34.0,702856.03,1855962.71,9348.0,40638.75,108425.0,283712.25,8810623.0
may_2020,34.0,751388.88,1854028.94,7978.0,50830.0,114391.5,296533.0,7672138.0
june_2020,34.0,1006591.5,2285500.03,11914.0,61714.0,168516.0,556168.0,9184613.0
july_2020,34.0,1294274.26,2874243.77,15625.0,82400.0,214733.5,731726.25,11452136.0
august_2020,34.0,1422771.85,3027645.9,19917.0,104674.5,258717.5,867408.25,11468963.0
september_2020,34.0,1247278.41,2802506.83,20879.0,103095.5,255627.0,724720.25,12304681.0
october_2020,34.0,1381737.68,2937672.95,22363.0,108703.0,295553.5,796446.5,11470617.0
november_2020,34.0,1411212.29,2985430.79,22030.0,109260.25,270066.0,820020.0,11782903.0
december_2020,34.0,1744997.91,3602788.46,50886.0,156663.75,365534.0,1102634.5,14465546.0
january_2021,34.0,1339846.24,2939585.11,37548.0,128224.75,242023.0,741315.0,12801904.0
february_2021,34.0,1335178.53,2915770.54,26992.0,101920.0,210723.0,705237.5,12582632.0
march_2021,34.0,1435553.88,3023506.23,27340.0,111882.25,242150.5,781949.25,12511219.0
april_2021,34.0,1376580.5,2898103.67,22191.0,98438.5,232049.0,752060.25,11833348.0
may_2021,34.0,1581536.26,3286852.27,20610.0,128009.0,296947.0,966155.5,13144701.0
june_2021,34.0,1453100.09,3108689.37,24856.0,115019.75,283466.5,919838.5,14179950.0
july_2021,34.0,1016836.44,2229250.31,18927.0,100614.5,231126.0,639776.75,9773674.0
august_2021,34.0,1187017.24,2550062.56,17571.0,94937.75,225820.5,627253.75,10234832.0
september_2021,34.0,1509721.79,3250998.92,22787.0,108123.25,265380.5,763857.0,12699513.0
october_2021,34.0,1847692.26,3997751.87,29487.0,122216.5,305427.5,929066.25,15670718.0
november_2021,34.0,1793795.82,4003108.08,24119.0,110416.75,277910.0,821943.25,16327544.0
december_2021,34.0,2161360.32,4651319.26,36413.0,158012.0,390987.0,1091180.75,19245908.0
january_2022,34.0,1852483.47,4174438.85,26920.0,137143.5,318593.0,929690.25,19124849.0
february_2022,34.0,1644892.15,3973205.21,23240.0,108975.0,258480.0,789049.75,19184354.0
march_2022,34.0,2359659.24,5425755.52,28683.0,182325.5,440819.5,1425490.25,27190607.0
april_2022,34.0,1447734.5,2566410.88,26925.0,171593.75,392125.5,1124747.0,12078225.0
may_2022,34.0,2318493.62,4327772.33,30226.0,262341.75,616184.5,1639740.0,19934247.0
june_2022,34.0,1705262.94,3180552.68,30204.0,184987.5,443389.5,1293454.5,14691026.0
july_2022,34.0,1859310.12,3476095.0,32132.0,216839.0,551466.0,1274295.75,16068542.0
august_2022,34.0,1550459.85,2879400.9,29288.0,175022.5,472261.0,1138519.75,13235419.0
september_2022,34.0,1585412.56,2904579.54,27807.0,173909.0,449861.5,1105401.75,12461460.0
october_2022,34.0,1765888.56,3410603.77,30041.0,173734.5,481114.5,1143425.25,15437648.0
november_2022,34.0,1584099.94,3102689.77,29600.0,152074.75,443873.5,1131828.0,14709379.0
december_2022,34.0,1939970.5,3598213.62,39514.0,209480.0,577098.5,1593701.5,16432381.0
january_2023,34.0,2314431.65,4366107.38,35205.0,234937.5,660538.0,1716216.25,19451002.0
february_2023,34.0,1935444.68,3773455.88,32471.0,175518.25,542799.5,1295662.5,17436510.0
march_2023,34.0,1943745.56,3807912.74,39504.0,183731.75,541153.0,1361911.75,17708068.0
april_2023,34.0,2106728.79,4129826.17,37128.0,254842.75,595124.0,1569836.5,19450106.0
may_2023,34.0,2281788.32,4560280.09,46157.0,256088.0,679666.0,1599089.0,22309466.0
june_2023,34.0,2169817.24,4195298.26,54764.0,247255.25,663054.5,1894743.0,20347494.0
july_2023,34.0,2167258.76,3997459.0,52221.0,255159.5,668887.5,1896215.0,17427521.0
august_2023,34.0,1725805.29,3146628.13,51470.0,201155.5,500703.0,1403917.75,13539565.0
september_2023,34.0,1769254.97,3231538.14,44774.0,192662.0,478927.5,1238139.25,12654730.0
october_2023,34.0,1844042.32,3406216.73,51068.0,192112.75,484548.0,1289507.75,13820919.0
november_2023,34.0,1774467.97,3283751.21,42636.0,171978.5,417905.0,1273810.75,12965607.0
december_2023,34.0,2663318.5,4511819.2,101473.0,466937.75,1039626.5,1951240.25,19993585.0
